Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,0.12660760449576713,0.4185033077520581
Vejo a rede social muitas vezes todos os dias,Depressão,-0.37332889610935444,0.013669905889715134
Vejo a rede social muitas vezes todos os dias,Autoeficácia,-0.035137588326043905,0.822996992624638
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,0.011663982396762605,0.9408238048855956
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,-0.06781340079756304,0.6656856595430178
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.034875530075673504,0.8242962567395438
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.25259366582692266,0.10222085043457096
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.30035173213615907,0.05035358234889562
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,0.15336746212067048,0.32615518528772225
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.3109672345870257,0.042387976050355394
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.29675135354879967,0.053314526824896354
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,0.1689168732886884,0.27888536194978225
Eu acho que as redes sociais são muito úteis.,Ansiedade,0.07972216959095402,0.6113280136134892
Eu acho que as redes sociais são muito úteis.,Depressão,-0.01407739717614901,0.9286083682786053
Eu acho que as redes sociais são muito úteis.,Autoeficácia,0.05723670884253481,0.7154357402281035
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,0.03723866144723036,0.812597203178717
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.26136239507625825,0.09046817275707805
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.1528813365321691,0.32770936176277315
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,-0.041418028754176,0.7920063607631276
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.2493075979985995,0.10691448938525941
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,0.09050544095955598,0.5638163332197133
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.18480860979919922,0.23545897676499308
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.18467341840546478,0.2358077587224727
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.17086221805885862,0.27330508867438214
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.29455851568895397,0.05518546430638287
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.20697191186131406,0.18296376332304187
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.022963874682957665,0.8837902801695283
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,-0.006205338079717411,0.96849780084594
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.2867927364839063,0.06223872981314658
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,0.09149687680630694,0.5595355345075579
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,0.16296200766394553,0.29642788635359807
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.17423059366649238,0.26381778869388894
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,0.091938259591977,0.5576346397695667
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.09934527374994429,0.5261949284719794
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.05934748096787151,0.7054058267161322
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.20627236296977985,0.18448082795125184
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.08603057768445319,0.5833243616622695
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.05799401621002575,0.7118316393915111
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.03414683985899741,0.8279114725392727
