Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,-0.0029353637565762702,0.9856578432556946
Vejo a rede social muitas vezes todos os dias,Depressão,0.0016461174087645247,0.9919568024455903
Vejo a rede social muitas vezes todos os dias,Autoeficácia,0.09734619241710213,0.5501265501613637
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,-0.0011858859010251688,0.9942055231784057
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,-0.09935560758478673,0.5418840523884528
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.2993214334002443,0.06061141189353941
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.21362591012166454,0.18564087778799254
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,0.11387625143056776,0.4841398430644612
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,-0.23726862096594975,0.1404336709227399
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.002247327199815935,0.9890193477815452
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.16807480540970654,0.29988104079365036
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,0.17469902818681296,0.2809554448183974
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.1981891294516647,0.2202304456183475
Eu acho que as redes sociais são muito úteis.,Depressão,0.26239437364088414,0.10190070557577312
Eu acho que as redes sociais são muito úteis.,Autoeficácia,-0.19020371363831348,0.2397637672557821
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,0.17483032419083339,0.2805883798858086
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.02673894160034282,0.869905495842464
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.03618915427950039,0.8245513025770168
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.31334099513576885,0.048976486196881386
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.11304835835232044,0.4873435888253024
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,-0.12458560027450086,0.4437035733151423
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.22530315565778736,0.16217183964119616
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.39678985418023016,0.011245966330931771
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,-0.11160791235117527,0.4929438462209107
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,-0.13261453421475955,0.41464653964894393
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.16084386390443028,0.3214496650801981
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,-0.14700321886674672,0.3653702948033808
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,-0.011977822935734128,0.9415237996568223
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.05181702665395542,0.7508330768660366
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.060760415474519575,0.7095641983723256
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,-0.09169566430373201,0.5736171572762336
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,0.10889332546736712,0.5035870613874611
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,-0.02760817948993497,0.8657142926952505
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,0.04913538871691272,0.7633479984977535
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.0667183702797194,0.6825104106478093
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.10604032699303587,0.5148971229221648
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,-0.04313784507087617,0.7915492956095167
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.11299431702618129,0.48755309697033816
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.12524731316789667,0.4412674424418237
