Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,0.06825675348665114,0.6448204889239484
Vejo a rede social muitas vezes todos os dias,Depressão,-0.24468497271054096,0.09371326230704197
Vejo a rede social muitas vezes todos os dias,Autoeficácia,0.12529128475290952,0.39615239479177394
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,0.13529234384849093,0.359221172222871
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,-0.1762677226274485,0.2307463073404521
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.2194218982187443,0.1340148436456074
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.20971229602540498,0.15254650411834925
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.22163986899397184,0.1300285573063979
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,0.0010456647646476004,0.9943720807342051
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.2079226265188645,0.1561585840675873
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.4270111157526512,0.002471327497595992
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,0.10800250799639435,0.46497420401164147
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.09636836001375358,0.5146725260524035
Eu acho que as redes sociais são muito úteis.,Depressão,-0.0525780972971647,0.7226530500918841
Eu acho que as redes sociais são muito úteis.,Autoeficácia,-0.07532004948295161,0.610891728216474
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,0.021772493842255193,0.8832224961891035
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.2787746355693485,0.05501917840496039
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.10801349321871978,0.4649285317481153
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.021173898811741157,0.8864117209382487
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.11966515443276521,0.41786678493188834
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,-0.004133340453584926,0.9777563713080837
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.21251423957677462,0.14701540260676668
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.3256899351938899,0.023886605928069148
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.08910874634904214,0.5469810680583704
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.3228273380305074,0.02522418905730707
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.3947195022694935,0.005497682752383901
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.08983020882565111,0.5437273267857394
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.06684110291700468,0.6517104719231801
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.18646933677372904,0.2044382486814685
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.07973777863020094,0.5900687145684085
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,-0.029171446668149456,0.8439683496744116
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,0.019594446992714724,0.8948352183644541
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,-0.09597256121257938,0.5164089470520644
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.06497343129878752,0.6608445405541629
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.07103213157441335,0.6313983781850998
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,0.003936231745947691,0.9788168674751279
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.059190400433714783,0.689433366043736
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.13396346919686086,0.36400397194015627
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.23649753232137027,0.10558437301512652
