Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,-0.3686086657340268,0.29458407929885394
Vejo a rede social muitas vezes todos os dias,Depressão,0.07382550335570467,0.8393840083955073
Vejo a rede social muitas vezes todos os dias,Autoeficácia,-0.25027019402581757,0.48555511827815423
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,-0.062117401274250285,0.8646412816812643
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,-0.20648774565050942,0.5670792462454612
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.29369747003551594,0.4101452723105139
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,-0.2709918883603077,0.44885347415620647
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,0.02189489404922195,0.9521278729136144
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,-0.20716308289978436,0.5657835343764512
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,-0.36100431210004646,0.3054218252460211
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.3597322843192012,0.3072550006672163
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,-0.16774901598842387,0.6432017568807453
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.14229426304616108,0.6949575646203846
Eu acho que as redes sociais são muito úteis.,Depressão,-0.15050251397039652,0.6781322092766359
Eu acho que as redes sociais são muito úteis.,Autoeficácia,0.21406697742685782,0.5526033178969199
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,-0.05810930083019316,0.8733142605195308
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.38715390115138165,0.26903230383615695
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.3505548104469272,0.3206521330703514
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.08181344894563594,0.8222261816520563
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.370168351566039,0.2923869745896893
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,0.26488926019436915,0.4595292063663983
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.06211740127425028,0.8646412816812643
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.36708932560090557,0.2967327998001764
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.2809280148165803,0.43171562596743884
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.17355253362515594,0.6315837813844618
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.29914120179770526,0.4011083448304834
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.24973998952923493,0.4865107745963898
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.33064511740466246,0.3507360241378515
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.4274335948442652,0.21790371017593288
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,0.4418090030716838,0.20112353429371177
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,0.13537661703751744,0.7092314722577591
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,0.06805745919552453,0.8518119588323586
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,0.11363643018570652,0.7546054835588183
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.011767963901214184,0.9742611436084068
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.08620561083152402,0.8128203648018646
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,0.11007072199137141,0.7621163327133373
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.33083365012176863,0.3504446844681489
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.5900864233704253,0.07253242165636341
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,0.15969289358529887,0.6594448181684869
