Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,-0.12124091348148454,0.48119758929079814
Vejo a rede social muitas vezes todos os dias,Depressão,-0.2753215132178916,0.10411699970057728
Vejo a rede social muitas vezes todos os dias,Autoeficácia,-0.03340532514975719,0.8466361853775116
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,0.13303521018931805,0.4392332958648392
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,0.07949894173944944,0.6448772536878671
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,-0.015870177168521137,0.9268043436933008
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.3261640365267211,0.052212127500571706
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.1880912055067219,0.27196001968389216
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,0.11786465997567953,0.49358225472882833
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.45310350067513155,0.005518544869063618
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.11095900821829635,0.5194116822518542
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,0.2591605276744081,0.12693582062116
Eu acho que as redes sociais são muito úteis.,Ansiedade,0.24706642733437909,0.14630342424205556
Eu acho que as redes sociais são muito úteis.,Depressão,0.19547211948924534,0.25324423994510803
Eu acho que as redes sociais são muito úteis.,Autoeficácia,0.0862377711052903,0.6170052899048216
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,0.33375098954857924,0.046669758335797146
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.27187305483928187,0.10870343834183013
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.2291430613779577,0.17885012276277243
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.35328137986747493,0.034552003031010456
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.08342002667544719,0.6285984360777993
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,0.2098269641025043,0.21934937167539414
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.16577057968879677,0.33392981267502686
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.19485602652780903,0.25477283016220204
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,-0.025284107400643574,0.8836261877345666
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.15812929688229196,0.3569953894442351
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.16028268202773874,0.3504004417294878
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.062393829214322793,0.7177230104611931
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.15472497391627005,0.3675725644582163
Eu posso me expressar mais claramente usando redes sociais.,Depressão,0.02233520734687811,0.8971220736618122
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.013911213314251138,0.9358194307468382
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,-0.09219709287596717,0.5927873931739662
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.2863093924953607,0.09047902129473849
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,0.013016374934048822,0.9399401312120031
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,0.1081223252725917,0.5302113768808374
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,0.019770028225195177,0.9088851288148622
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.19624676602933436,0.2513309360581673
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,-0.09977288842746732,0.5626174381872913
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,0.20303076863585476,0.23498672233274198
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.20274076146949785,0.2356703420624312
