Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,0.44630248144156986,0.06337448007181565
Vejo a rede social muitas vezes todos os dias,Depressão,0.027079307442811874,0.9150597732403531
Vejo a rede social muitas vezes todos os dias,Autoeficácia,0.28976462935736214,0.24347482164525847
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,-0.03328406008639215,0.8956882907233927
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,0.127136906928902,0.6151608190069164
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,-0.09693824980700882,0.7019781297895129
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,-0.005279195326130276,0.9834133726232609
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.13712353087484153,0.5874229106022741
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,0.36516590544940214,0.1362070442480491
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,-0.020507082840009315,0.9356280830959596
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.12248276775761532,0.6282624143743718
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,-0.2266869699774285,0.3656974526096328
Eu acho que as redes sociais são muito úteis.,Ansiedade,0.3020386796956749,0.22316760455452558
Eu acho que as redes sociais são muito úteis.,Depressão,-0.03275057170208217,0.8973518090349111
Eu acho que as redes sociais são muito úteis.,Autoeficácia,0.007094140003169144,0.977712192056766
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,-0.11752711141489951,0.6423298773964401
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.6515819936880948,0.00339375436873879
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,-0.09290786926722973,0.7138643745574
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,-0.07565062702130063,0.765440646695717
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.21808811449437102,0.38464079983950217
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,-0.10496799985056493,0.6784945493683816
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.028646357868614178,0.910162662513094
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,0.008753762190648204,0.9724998099470226
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.14600453276618203,0.5632057927680627
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.04364272980024651,0.8634779774556824
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.3667498393266152,0.13438799601405393
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,-0.34954530906990433,0.1550704614903292
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.02562208140080295,0.9196162940864337
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.24467509146445987,0.3278143102677885
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.009327887436807958,0.9706968890771759
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,0.07733469890818297,0.7603621108355163
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.4871077325701325,0.04034066125151023
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,-0.0815897407944981,0.7475723735215167
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.1504409493670258,0.5512738134631394
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.5277043284792879,0.024399655869030798
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.2391323328188624,0.3392333223610531
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,-0.032142177808383805,0.8992493938216306
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.27233771200498047,0.27425653649867215
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.31700620875469604,0.1999282891752192
