Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,-0.02229576798401334,0.8504427077935559
Vejo a rede social muitas vezes todos os dias,Depressão,-0.25163311062718147,0.030563687398178954
Vejo a rede social muitas vezes todos os dias,Autoeficácia,-0.03860894661459184,0.7439748597290494
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,0.2182997426027378,0.061689740325112166
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,-0.00540298461530502,0.9635595081104225
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.2737115308972982,0.018288497535139232
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.14147050163392222,0.22924167995316122
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.1672509333267816,0.15435763947865927
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,0.08229030686841209,0.48579033588354203
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.10188465835762507,0.3877117603875503
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.254905334636828,0.028394538391386587
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,0.20983853270109776,0.07274878969085302
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.04408589634721609,0.7091736217456714
Eu acho que as redes sociais são muito úteis.,Depressão,0.1551615360631489,0.18682276004705717
Eu acho que as redes sociais são muito úteis.,Autoeficácia,0.06592182853867128,0.576821036452078
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,-0.04941417602140687,0.6758772353495406
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.2758841394704317,0.01734958820565198
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.1826123429271396,0.11940571076958151
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,-0.06827096318454898,0.5632873447747795
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.15224090701603973,0.1953572831629955
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,0.13826866036130744,0.24006061225977782
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.11603832348887058,0.3248519389551789
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.2822190677279996,0.01484445931943064
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.12499006606650258,0.28865906420419235
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.17160221981724721,0.1437644767037894
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.23025928353993108,0.04842150045378145
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.0037991381872680627,0.974372257277962
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,-0.13668889071081988,0.24552638280983402
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.13315268677324424,0.25806904830222005
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.006419179325222694,0.9567118369814248
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,-0.22038411768710556,0.059185874702779626
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.0747359500549195,0.5268357285683191
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,-0.2273042276664842,0.0514590123227564
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.14461584873834973,0.21894902209877498
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.12998459573765844,0.26966943938382076
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.057626750183194644,0.6257693688497006
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.054377001921914164,0.6454116216488478
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.1129420449248685,0.3380155241241032
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,3.469446951953614e-18,0.9999999999999998
