Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,0.01865658654125643,0.954108607550923
Vejo a rede social muitas vezes todos os dias,Depressão,-0.06621451835231021,0.8379990323868649
Vejo a rede social muitas vezes todos os dias,Autoeficácia,0.2005310331285175,0.532025892015906
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,0.05958435917242181,0.8540585244672012
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,0.28196295074009653,0.37459542157927167
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.09703708495659699,0.7641706488521749
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.2790981202369267,0.37967477123312576
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.30355672608677736,0.33746448316313715
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,0.04398675670143298,0.8920301127839899
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,-0.09328293270628188,0.7730792183704549
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.38625135705514285,0.2149043261260989
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,-0.2005310331285175,0.532025892015906
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.3700540272633569,0.23640581060228127
Eu acho que as redes sociais são muito úteis.,Depressão,-0.036482422746803495,0.9103781743898365
Eu acho que as redes sociais são muito úteis.,Autoeficácia,-0.12053151055354618,0.709050554757496
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,-0.21757131728816845,0.49695734370501854
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.09652341781316803,0.7653880522837432
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,-0.17716466781757806,0.5817471804940357
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,-0.3256341467481682,0.3016565985388229
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,0.2953495432840186,0.35133464636322076
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,-0.021212673125397104,0.9478282448207579
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,-0.26166771208331113,0.41133409999145953
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-1.3877787807814457e-17,1.0
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,-0.028409549486356805,0.9301610568345944
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,-0.0401717667590072,0.901352200990273
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.5465357250000211,0.06596611906135544
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,-0.5888015039841448,0.04398349840139652
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,-0.5023310149673529,0.09605082033066263
Eu posso me expressar mais claramente usando redes sociais.,Depressão,0.23618747700346138,0.45987633901807135
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,0.0881008594999961,0.7854174521565961
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,-0.4373891700691257,0.15504894676120035
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,0.3376575974506813,0.2830911622305521
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,-0.4418781916483259,0.15036998010678945
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.11715532674618681,0.7168995621913725
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.013859955063326546,0.9659002515707339
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,0.05342266384494128,0.8690291631444818
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.40609970313605526,0.19023054275152307
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.3703334502253889,0.2360244652254401
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.13227206582864906,0.6819616660130574
