Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,-0.3670572890511904,0.12213233572603831
Vejo a rede social muitas vezes todos os dias,Depressão,-0.028033318898046677,0.9093008432357595
Vejo a rede social muitas vezes todos os dias,Autoeficácia,-0.34927058509155146,0.14272863611829562
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,-0.21799832826807505,0.3699462074713436
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,0.19280763770305903,0.4290395650563399
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,-0.018972337943833156,0.9385514489469604
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.15307347110377464,0.5315519694553317
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.277069640438403,0.25080848088984836
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,-0.15824765140162378,0.517597180222756
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.3860166226715041,0.10260133842396107
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,0.0052830494616779395,0.9828747909996371
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,0.3813994678875895,0.10713445218221375
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.12152938554213216,0.6201660918285753
Eu acho que as redes sociais são muito úteis.,Depressão,0.551625327021193,0.014348209761865247
Eu acho que as redes sociais são muito úteis.,Autoeficácia,-0.16399526261344097,0.5023008095381257
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,-0.13074745952520758,0.5936712494101681
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.17419118387328375,0.4757118784949114
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,0.12446320354989644,0.611682868214145
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.07977086474675879,0.7454648975963021
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,-0.05307115237949395,0.8291606020652807
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,0.15228365571494118,0.533697230056294
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.04378337521547945,0.8587422773194
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,0.1388822328420223,0.5706902677929538
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,-0.4687919074589064,0.04290618466855855
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.13923782508629115,0.5696945646282965
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.08365437211571451,0.733492511253659
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,-0.47919533027457795,0.03790339547818014
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.14070257999232877,0.5656010295743414
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.14918888792448937,0.5421411781828782
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.05036308522018927,0.8377648994559382
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,0.15913387619225614,0.5152244450388732
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.4565908530886781,0.04940199468256614
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,0.29390856066859955,0.2219556764793134
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.06998958082441677,0.7758624386164735
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.15136344674109736,0.5362016608456225
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,0.1371184800518797,0.575640091249658
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,-0.14048485383510798,0.566208693352823
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,0.10071207974217164,0.6816323113449678
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.2618575881975002,0.27882642972729066
