Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,0.07193255131717367,0.8153541701325522
Vejo a rede social muitas vezes todos os dias,Depressão,-0.4411466239545184,0.13130479266858444
Vejo a rede social muitas vezes todos os dias,Autoeficácia,-0.05232337966812694,0.8651989363716894
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,0.29417292345818247,0.32926144056485923
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,0.2257474384689304,0.4583382611871876
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,-0.10043955419397135,0.7440633236420898
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.04916804911185917,0.873267266843303
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.1298589589630172,0.672416390794469
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,-0.10218455460259995,0.7397539763191501
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,-0.06450231169044757,0.8341758209082971
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,0.008067832933623717,0.9791313654519617
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,-0.05431130642468212,0.8601218361399011
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.041643537790798074,0.8925520770169939
Eu acho que as redes sociais são muito úteis.,Depressão,0.2101536293479052,0.49074177621464005
Eu acho que as redes sociais são muito úteis.,Autoeficácia,-0.08221924839789355,0.7894485372035188
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,-0.2421170990557512,0.42546786304465567
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,-0.10094523510670299,0.7428138125824377
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,-0.5998755270257701,0.030214035847267607
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.05321883133548308,0.8629113811671613
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,0.11316076418105084,0.7128123337174955
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,-0.5516333592680239,0.05065870239584048
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.04561998849773197,0.8823532895513267
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.6490390672658906,0.01638439493868213
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.16990512230847463,0.5789377361212033
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.3063622577738124,0.30865074477427346
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.6111918658007418,0.026465013767639427
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.22904956271481358,0.4516114862287019
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.22034689567839932,0.4694423814353911
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.3748240609449844,0.20698273884506554
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,0.2719022732965648,0.36882442957493966
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,-0.11411695295221705,0.7104793005024511
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.3373993658138834,0.2595746654143281
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,0.2163669270556985,0.47770620493623756
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,0.01873294870301275,0.9515652457366792
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.11352239426524793,0.7119297100998991
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.08321747742338231,0.7869447841842917
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.5426488617097119,0.05534714272653636
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.20512892675886307,0.5014017471788209
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,0.16419663977888413,0.5919389241893734
