Pergunta_EAISR-E,Fator_QSG-12,Correlacao,P_Valor
Vejo a rede social muitas vezes todos os dias,Ansiedade,0.18612653271962804,0.4320496477757838
Vejo a rede social muitas vezes todos os dias,Depressão,-0.10219982685954339,0.6681066651512777
Vejo a rede social muitas vezes todos os dias,Autoeficácia,0.33999325882118087,0.14245714652796762
Compartilho fotos e vídeos em redes sociais com frequência.,Ansiedade,0.04692652485446525,0.8442529074005067
Compartilho fotos e vídeos em redes sociais com frequência.,Depressão,-0.09922751577347932,0.6772523956509173
Compartilho fotos e vídeos em redes sociais com frequência.,Autoeficácia,0.07833002927120306,0.7427214575372656
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Ansiedade,0.39547510948761766,0.08436328839986224
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Depressão,-0.08657026424423347,0.7166737308406119
Existem contas de redes sociais (blogs) que eu sigo constantemente.,Autoeficácia,0.021033533585764774,0.929862935019079
Eu tenho mais de uma conta de rede social que uso ativamente.,Ansiedade,0.20802910547986425,0.37879633520854084
Eu tenho mais de uma conta de rede social que uso ativamente.,Depressão,-0.18978031410319063,0.42290154638256816
Eu tenho mais de uma conta de rede social que uso ativamente.,Autoeficácia,-0.26832444349254775,0.2526864587533652
Eu acho que as redes sociais são muito úteis.,Ansiedade,-0.03822373326929836,0.8728868555711999
Eu acho que as redes sociais são muito úteis.,Depressão,-0.24453049983699238,0.298786089784261
Eu acho que as redes sociais são muito úteis.,Autoeficácia,-0.043864754137409846,0.8543071728316544
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Ansiedade,-0.06948615819181192,0.7709792711094585
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Depressão,0.06972973991669028,0.7701970723415181
Eu gosto de acompanhar as ações dos meus amigos nas redes sociais.,Autoeficácia,-0.3286289860365001,0.15715820135474745
Costumo conferir o que meus amigos fazem nas redes sociais.,Ansiedade,0.08514539922623925,0.7211572023938329
Costumo conferir o que meus amigos fazem nas redes sociais.,Depressão,0.24778723451081988,0.29219198959488674
Costumo conferir o que meus amigos fazem nas redes sociais.,Autoeficácia,-0.19897527652297364,0.40034507144706244
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Ansiedade,0.5030759442388468,0.023758243098506715
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Depressão,-0.3810412503297545,0.09740524473227737
Sinto-me mais confortável nas redes sociais do que quando estou em ambientes sociais (com outras pessoas).,Autoeficácia,0.22464310026488835,0.3409988511425709
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Ansiedade,0.2887636173967667,0.21692310000475096
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Depressão,-0.6242965433160277,0.0032588980368945847
Eu prefiro redes sociais em vez de gastar tempo com meu círculo social.,Autoeficácia,0.07442738410789243,0.7551544253196281
Eu posso me expressar mais claramente usando redes sociais.,Ansiedade,0.4693769650677316,0.03680344223382699
Eu posso me expressar mais claramente usando redes sociais.,Depressão,-0.19727884243934793,0.4044561108205966
Eu posso me expressar mais claramente usando redes sociais.,Autoeficácia,-0.04324439967512508,0.8563469852105436
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Ansiedade,0.4381219039651688,0.05334036127612005
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Depressão,-0.4491467433775512,0.0469640940477488
Eu prefiro usar redes sociais do que telefonar quando estou me comunicando com amigos.,Autoeficácia,0.2446487573020289,0.29854507201155767
Eu uso redes sociais principalmente para amizades e conversas.,Ansiedade,-0.04562253884853503,0.8485322027572755
Eu uso redes sociais principalmente para amizades e conversas.,Depressão,-0.05514706293658474,0.8173767464210944
Eu uso redes sociais principalmente para amizades e conversas.,Autoeficácia,-0.1367299829344966,0.5654176151781025
Eu frequentemente atualizo meu perfil nas redes sociais.,Ansiedade,0.26707058010562845,0.2549955812891368
Eu frequentemente atualizo meu perfil nas redes sociais.,Depressão,-0.011770568406250658,0.9607188189267883
Eu frequentemente atualizo meu perfil nas redes sociais.,Autoeficácia,-0.23946462056854792,0.309222043002616
